,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
10,1249601991149527043,"['gmda', 'gurugram']",['https://twitter.com/i/web/status/1249601991149527043'],"Download #GMDA Mobile App; an Integrated One-point Informative solution for Citizens of #Gurugram to connect with administration, access govt services, make utility payments, provides special guidelines related to #Covid_19, Smart Solutions, etc. 
#G2C #C2G
@sonalgoelias 
@ANI https://t.co/T8S3yocnlI",Download GMDA Mobile App an Integrated Onepoint Informative solution for Citizens of Gurugram to connect with administration access govt services make utility payments provides special guidelines related to Covid Smart Solutions etc GC CG sonalgoelias ANI,2020-04-13 07:35:05,en,Gurugram Metropolitan City Bus Limited,,"Sector 10, Bus Depot Gurugram",0,0,0,0,True,,
11,1245770285028003842,"['coronavirusupdate', 'haryana', 'covid']",['https://twitter.com/i/web/status/1245770285028003842'],"#CoronaVirusUpdate- 6 new Corona Positive Cases detected in #Haryana !

Number of #COVID_19 Cases = 35 

Number of persons on surveillance = 15,742

l0 Gurugram, 6 Faridabad, 4 Panipat, 4 Palwal, 3 Sirsa, 3 Ambala, 2 Panchkula, 1 Hisar, 1 Sonepat, 1 Rohtak https://t.co/zLW5q8fR2n",CoronaVirusUpdate new Corona Positive Cases detected in Haryana Number of COVID Cases Number of persons on surveillance l Gurugram Faridabad Panipat Palwal Sirsa Ambala Panchkula Hisar Sonepat Rohtak,2020-04-02 17:49:15,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,1,13,24,True,strongly_positive,0.901
12,1242810614151442432,"['covid', 'faridabad', 'haryana']",['https://twitter.com/i/web/status/1242810614151442432'],"One more test #Covid19 Positive in #Faridabad #Haryana

Corona patients in Haryana =17 (10-Gurugram, 2-Panipat, 2-Faridabad, 1-Palwal, 1-Panchkula, 1-Sonipat)

76 persons in Contact with Covid Positive Cases
9,212 persons under Surveillance

111 Samples Awaited

#21daysLockdown",One more test Covid Positive in Faridabad Haryana Corona patients in Haryana Gurugram Panipat Faridabad Palwal Panchkula Sonipat persons in Contact with Covid Positive Cases persons under Surveillance Samples Awaited daysLockdown,2020-03-25 13:48:35,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,0,1,1,True,,
13,1248539502869536769,['haryana'],['https://twitter.com/i/web/status/1248539502869536769'],"#Haryana- 5 more tested Positive for Coronavirus today; COVID-19 cases rise to 161 (3 Ambala, 1 Sonipat, 1 Panchkula)

No new cases found in Faridabad, Nuh, Gurugram &amp; Faridabad 

16,153 persons under Surveillance

3,496 Samples Done; 2,443 negative; 892 sample reports awaited https://t.co/abCdlXDSl2",Haryana more tested Positive for Coronavirus today COVID cases rise to Ambala Sonipat Panchkula No new cases found in Faridabad Nuh Gurugram amp Faridabad persons under Surveillance Samples Done negative sample reports awaited,2020-04-10 09:13:08,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,0,0,0,True,,
14,1249412379441393664,"['gmda', 'gurugram']",['https://twitter.com/i/web/status/1249412379441393664'],"Download #GMDA Mobile App; which is an Integrated One-point Informative solution for Citizens of #Gurugram to connect with administration, access govt services, make utility payments, has special enablers during #Covid_19 , Smart Solutions etc. https://t.co/kwYilu4TOI",Download GMDA Mobile App which is an Integrated Onepoint Informative solution for Citizens of Gurugram to connect with administration access govt services make utility payments has special enablers during Covid Smart Solutions etc,2020-04-12 19:01:38,en,Delhi NCR Volunteers for Corona Crisis,"Initiative by delhi NCR residents
- help senior citizens for delivery
- report cases of people in need
- seek guidance",,0,0,0,0,True,,
15,1247844211765870595,"['iccc', 'gmda']",['https://twitter.com/i/web/status/1247844211765870595'],"Integrated command &amp; control centre #ICCC operated by #GMDA is helping Govt agencies including Police; Distt Admn; MCG etc to monitor different activities including assistance in #enforcement through CCTV Surveillance; GIS Based Services etc. 
#COVID19 
@cmohry @gurgaonpolice https://t.co/g6ImR6dASv",Integrated command amp control centre ICCC operated by GMDA is helping Govt agencies including Police Distt Admn MCG etc to monitor different activities including assistance in enforcement through CCTV Surveillance GIS Based Services etc COVID cmohry gurgaonpolice,2020-04-08 11:10:18,en,Sonal Goel,"IAS, SRCCian, CS, Lawyer, MA(PP), Top 25 Women Transforming India by Niti Aayog, Web Wonder Women by Twitter India, TEDx Speaker, CEO @gurugaman & Addl CEO GMDA","Gurgaon, India",10,23,100,669,True,,
16,1241036637158518789,"['haryana', 'haryana']",['https://twitter.com/i/web/status/1241036637158518789'],"Questions to #Haryana Govt-

1. Why are 5,460 persons, on Surveillance in #Haryana, not being tested?
2. Why did it take 7-8 days to declare #COVID19 Positive Reports for persons coming to India on 12/13 March?
3. What about ppl coming in their contact?
4. Why is Testing so Slow? https://t.co/NDav3Q4AJX",Questions to Haryana Govt Why are persons on Surveillance in Haryana not being tested Why did it take days to declare COVID Positive Reports for persons coming to India on March What about ppl coming in their contact Why is Testing so Slow,2020-03-20 16:19:26,en,Randeep Singh Surjewala,"Permanent Invitee Member, Congress Working Committee.",,13,95,417,1538,True,,
17,1248539712395964416,['haryana'],['https://twitter.com/i/web/status/1248539712395964416'],"#Haryana- 5 more tested Positive for Coronavirus today; COVID-19 cases rise to 161 (3 Ambala, 1 Sonipat, 1 Panchkula)

No new cases found in Faridabad, Nuh, Gurugram &amp; Palwal 

16,153 persons under Surveillance

3,496 Samples Done; 2,443 negative; 892 sample reports awaited https://t.co/QnBe2VlWxo",Haryana more tested Positive for Coronavirus today COVID cases rise to Ambala Sonipat Panchkula No new cases found in Faridabad Nuh Gurugram amp Palwal persons under Surveillance Samples Done negative sample reports awaited,2020-04-10 09:13:58,en,Haryana Tweets ✏️,CRITIC- Followed by @mlkhattar @ChBirenderSingh @BhupinderSHooda @rssurjewala @Dchautala @_YogendraYadav @bishnoikuldeep @aniljaindr @NSaina @yuzi_chahal @IYC,#Haryana #Chandigarh #India,0,1,3,1,True,,
18,1251426371961622528,"['gmda', 'covid', 'gurugram']",['https://twitter.com/i/web/status/1251426371961622528'],"ICCC developed by #GMDA are being used as ‘War Room for #COVID19 Surveillance’ in #Gurugram. NEC is proud to be a part of this projects. Using 300 CCTvs, @gurgaonpolice is keeping an eye on vehicles, people gatherings &amp; tracking people under quarantine.
@MunCorpGurugram #NECIndia",ICCC developed by GMDA are being used as War Room for COVID Surveillance in Gurugram NEC is proud to be a part of this projects Using CCTvs gurgaonpolice is keeping an eye on vehicles people gatherings amp tracking people under quarantine MunCorpGurugram NECIndia,2020-04-18 08:24:32,en,NEC Technologies India,Official Twitter Channel of NEC Technologies India Private Limited (NTI).,"New Delhi, India",0,0,0,0,True,,
19,1249357605622837248,"['gmda', 'gurugram']",['https://twitter.com/i/web/status/1249357605622837248'],"Download #GMDA Mobile App; which is an Integrated One-point Informative solution for Citizens of #Gurugram to connect with administration, access govt services, make utility payments, has special enablers during #Covid_19 , Smart Solutions etc. 
@GMDA_Ggm @sonalgoelias https://t.co/mPCXqJ4FOx",Download GMDA Mobile App which is an Integrated Onepoint Informative solution for Citizens of Gurugram to connect with administration access govt services make utility payments has special enablers during Covid Smart Solutions etc GMDAGgm sonalgoelias,2020-04-12 15:23:59,en,प्रिय यादव (Priye Yadav),"1. आपका व्यक्तित्व ही आपकी पहचान है 2. नाम और पहचान भले छोटी हो मगर खुद की होनी चाहिए 3. ये दबदबा,ये हुकूमत,ये नशा,ये दौलतें सब किरायेदार हैं घर बदलते रहते है","Gurgaon, India ",0,0,0,0,True,,
