app_name,datetime,value
ch_swisscovid,2020-09-19,2
ch_swisscovid,2020-09-20,4
ch_swisscovid,2020-09-21,1
ch_swisscovid,2020-09-22,0
ch_swisscovid,2020-09-23,0
ch_swisscovid,2020-09-24,1
ch_swisscovid,2020-09-25,5
ch_swisscovid,2020-09-26,1
ch_swisscovid,2020-09-27,0
ch_swisscovid,2020-09-28,0
ch_swisscovid,2020-09-29,10
ch_swisscovid,2020-09-30,5
ch_swisscovid,2020-10-01,0
ch_swisscovid,2020-10-02,1
ch_swisscovid,2020-10-03,0
ch_swisscovid,2020-10-04,0
ch_swisscovid,2020-10-05,1
ch_swisscovid,2020-10-06,1
ch_swisscovid,2020-10-07,2
ch_swisscovid,2020-10-08,6
ch_swisscovid,2020-10-09,2
ch_swisscovid,2020-10-10,2
ch_swisscovid,2020-10-11,2
ch_swisscovid,2020-10-12,8
ch_swisscovid,2020-10-13,3
ch_swisscovid,2020-10-14,4
ch_swisscovid,2020-10-15,4
ch_swisscovid,2020-10-16,1
ch_swisscovid,2020-10-17,1
ch_swisscovid,2020-10-18,4
ch_swisscovid,2020-10-19,2
ch_swisscovid,2020-10-20,2
ch_swisscovid,2020-10-21,4
ch_swisscovid,2020-10-22,3
ch_swisscovid,2020-10-23,5
ch_swisscovid,2020-10-24,3
ch_swisscovid,2020-10-25,5
ch_swisscovid,2020-10-26,3
ch_swisscovid,2020-10-27,6
ch_swisscovid,2020-10-28,4
ch_swisscovid,2020-10-29,3
ch_swisscovid,2020-10-30,3
ch_swisscovid,2020-10-31,3
ch_swisscovid,2020-11-01,2
ch_swisscovid,2020-11-02,2
ch_swisscovid,2020-11-03,3
ch_swisscovid,2020-11-04,4
ch_swisscovid,2020-11-05,1
ch_swisscovid,2020-11-06,0
ch_swisscovid,2020-11-07,0
ch_swisscovid,2020-11-08,0
ch_swisscovid,2020-11-09,2
ch_swisscovid,2020-11-10,1
ch_swisscovid,2020-11-11,2
ch_swisscovid,2020-11-12,0
ch_swisscovid,2020-11-13,4
ch_swisscovid,2020-11-14,0
ch_swisscovid,2020-11-15,4
ch_swisscovid,2020-11-16,0
ch_swisscovid,2020-11-17,2
ch_swisscovid,2020-11-18,15
ch_swisscovid,2020-11-19,2
ch_swisscovid,2020-11-20,11
ch_swisscovid,2020-11-21,6
ch_swisscovid,2020-11-22,6
ch_swisscovid,2020-11-23,2
ch_swisscovid,2020-11-24,2
ch_swisscovid,2020-11-25,1
ch_swisscovid,2020-11-26,3
ch_swisscovid,2020-11-27,3
ch_swisscovid,2020-11-28,1
ch_swisscovid,2020-11-29,2
ch_swisscovid,2020-11-30,4
ch_swisscovid,2020-12-01,3
ch_swisscovid,2020-12-02,11
ch_swisscovid,2020-12-03,6
ch_swisscovid,2020-12-04,3
ch_swisscovid,2020-12-05,0
ch_swisscovid,2020-12-06,0
ch_swisscovid,2020-12-07,7
ch_swisscovid,2020-12-08,8
ch_swisscovid,2020-12-09,3
ch_swisscovid,2020-12-10,0
ch_swisscovid,2020-12-11,1
ch_swisscovid,2020-12-12,4
ch_swisscovid,2020-12-13,1
ch_swisscovid,2020-12-14,5
ch_swisscovid,2020-12-15,9
ch_swisscovid,2020-12-16,0
ch_swisscovid,2020-12-17,10
ch_swisscovid,2020-12-18,2
ch_swisscovid,2020-12-19,5
ch_swisscovid,2020-12-20,0
ch_swisscovid,2020-12-21,3
ch_swisscovid,2020-12-22,3
ch_swisscovid,2020-12-23,5
ch_swisscovid,2020-12-24,3
ch_swisscovid,2020-12-25,1
ch_swisscovid,2020-12-26,0
ch_swisscovid,2020-12-27,2
ch_swisscovid,2020-12-28,7
ch_swisscovid,2020-12-29,4
ch_swisscovid,2020-12-30,2
ch_swisscovid,2020-12-31,1
ch_swisscovid,2021-01-01,0
ch_swisscovid,2021-01-02,2
ch_swisscovid,2021-01-03,0
ch_swisscovid,2021-01-04,0
ch_swisscovid,2021-01-05,2
ch_swisscovid,2021-01-06,1
ch_swisscovid,2021-01-07,0
ch_swisscovid,2021-01-08,3
ch_swisscovid,2021-01-09,3
ch_swisscovid,2021-01-10,6
ch_swisscovid,2021-01-11,0
ch_swisscovid,2021-01-12,3
ch_swisscovid,2021-01-13,7
ch_swisscovid,2021-01-14,0
ch_swisscovid,2021-01-15,2
ch_swisscovid,2021-01-16,6
ch_swisscovid,2021-01-17,0
ch_swisscovid,2021-01-18,7
ch_swisscovid,2021-01-19,6
ch_swisscovid,2021-01-20,4
ch_swisscovid,2021-01-21,5
ch_swisscovid,2021-01-22,0
ch_swisscovid,2021-01-23,0
ch_swisscovid,2021-01-24,1
ch_swisscovid,2021-01-25,0
ch_swisscovid,2021-01-26,2
ch_swisscovid,2021-01-27,3
ch_swisscovid,2021-01-28,4
ch_swisscovid,2021-01-29,0
ch_swisscovid,2021-01-30,1
ch_swisscovid,2021-01-31,4
ch_swisscovid,2021-02-01,2
ch_swisscovid,2021-02-02,4
ch_swisscovid,2021-02-03,0
ch_swisscovid,2021-02-04,0
ch_swisscovid,2021-02-05,5
ch_swisscovid,2021-02-06,1
de_corona_warn_app,2020-07-09,13
de_corona_warn_app,2020-07-10,38
de_corona_warn_app,2020-07-11,28
de_corona_warn_app,2020-07-12,11
de_corona_warn_app,2020-07-13,21
de_corona_warn_app,2020-07-14,12
de_corona_warn_app,2020-07-15,12
de_corona_warn_app,2020-07-16,21
de_corona_warn_app,2020-07-17,19
de_corona_warn_app,2020-07-18,14
de_corona_warn_app,2020-07-19,12
de_corona_warn_app,2020-07-20,15
